state,abbr,link
Alabama, AL,
Alaska, AK, http://www.urban.org/research/publication/potential-health-care-financial-burden-alaska-residents-under-aca-and-revised-bcra
Arkansas, AR, http://www.urban.org/research/publication/potential-health-care-financial-burden-arkansas-residents-under-aca-and-revised-bcra
Arizona, AZ, http://www.urban.org/research/publication/potential-health-care-financial-burden-arizona-residents-under-aca-and-revised-bcra
California, CA,
Colorado, CO,
Connecticut, CT,
Delaware, DE,
District of Columbia,DC,
Florida, FL,
Georgia, GA,
Hawaii, HI,
Iowa, IA,
Idaho, ID,
Illinois, IL, http://www.urban.org/research/publication/potential-health-care-financial-burden-illinois-residents-under-aca-and-revised-bcra
Indiana, IN,
Kansas, KS,
Kentucky, KY,
Louisiana, LA,
Maine, ME,
Maryland, MD,
Massachusetts, MA,
Michigan, MI,
Minnesota, MN, http://www.urban.org/research/publication/potential-health-care-financial-burden-minnesota-residents-under-aca-and-revised-bcra
Missouri,MO,
Mississippi, MS,
Montana, MT,
North Carolina, NC,
North Dakota, ND,
Nebraska, NE,
New Hampshire, NH, http://www.urban.org/research/publication/potential-health-care-financial-burden-new-hampshire-residents-under-aca-and-revised-bcra
New Jersey, NJ,
New Mexico, NM,
Nevada, NV, http://www.urban.org/research/publication/potential-health-care-financial-burden-nevada-residents-under-aca-and-revised-bcra
New York, NY, http://www.urban.org/research/publication/potential-health-care-financial-burden-new-york-residents-under-aca-and-revised-bcra
Ohio, OH, http://www.urban.org/research/publication/potential-health-care-financial-burden-ohio-residents-under-aca-and-revised-bcra
Oklahoma, OK,
Oregon, OR,
Pennsylvania, PA,
Rhode Island, RI,
South Carolina, SC,
South Dakota, SD,
Tennessee, TN,
Texas, TX,
Utah, UT,
Virginia, VA,
Vermont, VT,
Washington, WA,
Wisconsin, WI,
West Virginia, WV, http://www.urban.org/research/publication/potential-health-care-financial-burden-west-virginia-residents-under-aca-and-revised-bcra
Wyoming, WY,
